experiment,station,depth,group,taxa,biovolume
9,061_01,9.7,pennate,Pseudo-nitzschia,18702
9,061_01,9.7,Phaeocystis,Phaeocystis antarctica,44216187
9,061_01,9.7,silicoflagellate,silicoflagellate,116
9,061_01,9.7,unknown diatom,unknown diatom,793
12,078_03,25.2,centric,centric,212806
12,078_03,25.2,centric,Chaetoceros,80981
12,078_03,25.2,centric,Proboscia,1659949
12,078_03,25.2,centric,Thalassiosira,3964570
12,078_03,25.2,dinoflagellate,dinoflagellate,483
12,078_03,25.2,pennate,Fragilariopsis,102554
12,078_03,25.2,pennate,pennate,617
12,078_03,25.2,Phaeocystis,Phaeocystis antarctica,160190911
12,078_03,25.2,unknown diatom,unknown diatom,2581
13,082_03,10,centric,centric,491274
13,082_03,10,centric,Chaetoceros,763671
13,082_03,10,centric,Corethron,157853
13,082_03,10,centric,Proboscia,55381
13,082_03,10,centric,Thalassiosira,2085989
13,082_03,10,dinoflagellate,dinoflagellate,434
13,082_03,10,pennate,Banquisia,127577
13,082_03,10,pennate,Fragilariopsis,3539903
13,082_03,10,pennate,Nitzschia longissima,1452
13,082_03,10,pennate,pennate,4172
13,082_03,10,pennate,Plagiotropidaceae,237
13,082_03,10,pennate,Pseudo-nitzschia,74266
13,082_03,10,Phaeocystis,Phaeocystis antarctica,5483220
13,082_03,10,silicoflagellate,silicoflagellate,244
13,082_03,10,unknown diatom,unknown diatom,1026
14,088_01,9.9,centric,Asteromphalus,1705174
14,088_01,9.9,centric,centric,983775
14,088_01,9.9,centric,Chaetoceros,159300
14,088_01,9.9,centric,Eucampia,4459
14,088_01,9.9,centric,Guinardia,177067
14,088_01,9.9,centric,Proboscia,13621
14,088_01,9.9,centric,Rhizosolenia,45053
14,088_01,9.9,centric,Thalassiosira,3059295
14,088_01,9.9,ciliate,ciliate,197
14,088_01,9.9,dinoflagellate,dinoflagellate,478
14,088_01,9.9,pennate,Fragilariopsis,878914
14,088_01,9.9,pennate,Nitzschia longissima,304
14,088_01,9.9,pennate,pennate,61821
14,088_01,9.9,Phaeocystis,Phaeocystis antarctica,350523
14,088_01,9.9,silicoflagellate,silicoflagellate,36
14,088_01,9.9,unknown diatom,unknown diatom,784
15,066_01,9.9,centric,Chaetoceros,4898
15,066_01,9.9,centric,Thalassiosira,45332
15,066_01,9.9,ciliate,ciliate,12
15,066_01,9.9,dinoflagellate,dinoflagellate,39
15,066_01,9.9,pennate,Fragilariopsis,19220
15,066_01,9.9,pennate,Nitzschia longissima,1485
15,066_01,9.9,pennate,pennate,2214
15,066_01,9.9,pennate,Pseudo-nitzschia,7876
15,066_01,9.9,Phaeocystis,Phaeocystis antarctica,1038141
15,066_01,9.9,unknown diatom,unknown diatom,27
