TAXA,Ross Ice Shelf,Less than 0.1,Antarctic Slope,Less than 0.1,Offshore South of PF,Less than 0.1,Subantarctic,Less than 0.1
Oxytoxum variable Schiller,0.1,,0.1,,0.1,,0.1,
Oxytoxum spp.,0.6,,0.4,,1.6,,0.3,
Prorocentrum antarcticum (Hada) Balech,0.1,,0.1,,0.1,,0.2,
Prorocentrum cf. dentatum Stein,0.1,,0,,0.1,<,0.2,
Prorocentrum sp.,0,,0.1,<,0,,0,
Protoperidinium defectum (Balech) Balech,0.1,,0.1,,0.1,<,0,
Protoperidinium cf. incertum (Balech) Balech,0.1,,0.1,<,0,,0,
Protoperidinium spp.,0.2,,0.1,<,0.1,<,0.1,
Class Cryptophyceae,,,,,,,,
Cryptomonas sp.,1.6,,0.8,,1.6,,1.2,
Plagioselmis sp.,2.3,,1.1,,2.1,,1.6,
Leucocryptos marina,0.2,,0.2,,0.6,,0.2,
Class Dictyochophyceae,,,,,,,,
Dictyocha octonaria Ehrenberg,0.5,,0.2,,0.7,,0.1,<
Dictyocha speculum Ehrenberg,0.1,,0.1,<,0.1,,0.1,<
Class Euglenophyceae,,,,,,,,
Eutreptiella cf. braarudii Throndsen,0.1,,0.1,<,0,,0,
Class Prymnesiophyceae,,,,,,,,
Phaeocystis antarctica Karst,290,,0.1,,31.1,,3.7,
Class Prasinophyceae,,,,,,,,
Pyramimonas spp.,0.1,,0.1,,0.6,,0.1,<
Monads (unknown),9.3,,3.1,,12.2,,9.8,
