sample_id,taxa,count_per_L,biomass_per_L,measurement_method
110,Fragilariopsis kerguelensis,4000.0,,microscopy
112,Fragilariopsis kerguelensis,0.0,,microscopy
6,Calyptrosphaera,0.0,,microscopy
9,Calyptrosphaera,0.0,,microscopy
11,Calyptrosphaera,0.0,,microscopy
15,Calyptrosphaera,0.0,,microscopy
16,Calyptrosphaera,0.0,,microscopy
20,Calyptrosphaera,0.0,,microscopy
21,Calyptrosphaera,0.0,,microscopy
23,Calyptrosphaera,0.0,,microscopy
26,Calyptrosphaera,0.0,,microscopy
29,Calyptrosphaera,0.0,,microscopy
31,Calyptrosphaera,0.0,,microscopy
33,Calyptrosphaera,0.0,,microscopy
36,Calyptrosphaera,0.0,,microscopy
39,Calyptrosphaera,0.0,,microscopy
41,Calyptrosphaera,0.0,,microscopy
44,Calyptrosphaera,0.0,,microscopy
46,Calyptrosphaera,0.0,,microscopy
49,Calyptrosphaera,0.0,,microscopy
51,Calyptrosphaera,0.0,,microscopy
55,Calyptrosphaera,0.0,,microscopy
58,Calyptrosphaera,0.0,,microscopy
60,Calyptrosphaera,0.0,,microscopy
63,Calyptrosphaera,0.0,,microscopy
65,Calyptrosphaera,0.0,,microscopy
69,Calyptrosphaera,0.0,,microscopy
70,Calyptrosphaera,0.0,,microscopy
73,Calyptrosphaera,0.0,,microscopy
75,Calyptrosphaera,0.0,,microscopy
78,Calyptrosphaera,0.0,,microscopy
80,Calyptrosphaera,0.0,,microscopy
84,Calyptrosphaera,0.0,,microscopy
85,Calyptrosphaera,0.0,,microscopy
87,Calyptrosphaera,0.0,,microscopy
90,Calyptrosphaera,0.0,,microscopy
93,Calyptrosphaera,0.0,,microscopy
95,Calyptrosphaera,0.0,,microscopy
97,Calyptrosphaera,0.0,,microscopy
100,Calyptrosphaera,0.0,,microscopy
102,Calyptrosphaera,0.0,,microscopy
105,Calyptrosphaera,0.0,,microscopy
108,Calyptrosphaera,0.0,,microscopy
110,Calyptrosphaera,0.0,,microscopy
112,Calyptrosphaera,0.0,,microscopy
6,Rhizosolenia simplex,0.0,,microscopy
9,Rhizosolenia simplex,0.0,,microscopy
11,Rhizosolenia simplex,0.0,,microscopy
15,Rhizosolenia simplex,0.0,,microscopy
16,Rhizosolenia simplex,0.0,,microscopy
20,Rhizosolenia simplex,0.0,,microscopy
21,Rhizosolenia simplex,0.0,,microscopy
23,Rhizosolenia simplex,0.0,,microscopy
26,Rhizosolenia simplex,0.0,,microscopy
29,Rhizosolenia simplex,0.0,,microscopy
31,Rhizosolenia simplex,0.0,,microscopy
33,Rhizosolenia simplex,0.0,,microscopy
36,Rhizosolenia simplex,0.0,,microscopy
39,Rhizosolenia simplex,0.0,,microscopy
41,Rhizosolenia simplex,0.0,,microscopy
44,Rhizosolenia simplex,0.0,,microscopy
46,Rhizosolenia simplex,0.0,,microscopy
49,Rhizosolenia simplex,0.0,,microscopy
51,Rhizosolenia simplex,0.0,,microscopy
55,Rhizosolenia simplex,0.0,,microscopy
58,Rhizosolenia simplex,0.0,,microscopy
60,Rhizosolenia simplex,0.0,,microscopy
63,Rhizosolenia simplex,0.0,,microscopy
65,Rhizosolenia simplex,0.0,,microscopy
69,Rhizosolenia simplex,0.0,,microscopy
70,Rhizosolenia simplex,0.0,,microscopy
73,Rhizosolenia simplex,0.0,,microscopy
75,Rhizosolenia simplex,0.0,,microscopy
78,Rhizosolenia simplex,0.0,,microscopy
80,Rhizosolenia simplex,0.0,,microscopy
84,Rhizosolenia simplex,0.0,,microscopy
85,Rhizosolenia simplex,0.0,,microscopy
87,Rhizosolenia simplex,0.0,,microscopy
90,Rhizosolenia simplex,0.0,,microscopy
93,Rhizosolenia simplex,0.0,,microscopy
95,Rhizosolenia simplex,0.0,,microscopy
97,Rhizosolenia simplex,0.0,,microscopy
100,Rhizosolenia simplex,0.0,,microscopy
102,Rhizosolenia simplex,0.0,,microscopy
105,Rhizosolenia simplex,0.0,,microscopy
108,Rhizosolenia simplex,0.0,,microscopy
110,Rhizosolenia simplex,0.0,,microscopy
112,Rhizosolenia simplex,0.0,,microscopy
6,Thalassiosira,0.0,,microscopy
9,Thalassiosira,0.0,,microscopy
11,Thalassiosira,0.0,,microscopy
15,Thalassiosira,0.0,,microscopy
16,Thalassiosira,0.0,,microscopy
20,Thalassiosira,0.0,,microscopy
21,Thalassiosira,0.0,,microscopy
23,Thalassiosira,0.0,,microscopy
26,Thalassiosira,0.0,,microscopy
29,Thalassiosira,0.0,,microscopy
31,Thalassiosira,0.0,,microscopy
33,Thalassiosira,0.0,,microscopy
36,Thalassiosira,0.0,,microscopy
39,Thalassiosira,0.0,,microscopy
41,Thalassiosira,0.0,,microscopy
44,Thalassiosira,0.0,,microscopy
46,Thalassiosira,0.0,,microscopy
49,Thalassiosira,0.0,,microscopy
51,Thalassiosira,0.0,,microscopy
55,Thalassiosira,0.0,,microscopy
58,Thalassiosira,0.0,,microscopy
60,Thalassiosira,0.0,,microscopy
63,Thalassiosira,0.0,,microscopy
65,Thalassiosira,0.0,,microscopy
69,Thalassiosira,0.0,,microscopy
70,Thalassiosira,0.0,,microscopy
73,Thalassiosira,0.0,,microscopy
75,Thalassiosira,0.0,,microscopy
78,Thalassiosira,0.0,,microscopy
80,Thalassiosira,0.0,,microscopy
84,Thalassiosira,0.0,,microscopy
85,Thalassiosira,0.0,,microscopy
87,Thalassiosira,0.0,,microscopy
90,Thalassiosira,0.0,,microscopy
93,Thalassiosira,0.0,,microscopy
95,Thalassiosira,0.0,,microscopy
97,Thalassiosira,0.0,,microscopy
100,Thalassiosira,0.0,,microscopy
102,Thalassiosira,0.0,,microscopy
105,Thalassiosira,0.0,,microscopy
108,Thalassiosira,0.0,,microscopy
110,Thalassiosira,0.0,,microscopy
112,Thalassiosira,0.0,,microscopy
6,Helicosphaera carteri hyalina,0.0,,microscopy
9,Helicosphaera carteri hyalina,0.0,,microscopy
11,Helicosphaera carteri hyalina,0.0,,microscopy
15,Helicosphaera carteri hyalina,0.0,,microscopy
16,Helicosphaera carteri hyalina,0.0,,microscopy
20,Helicosphaera carteri hyalina,0.0,,microscopy
21,Helicosphaera carteri hyalina,0.0,,microscopy
23,Helicosphaera carteri hyalina,0.0,,microscopy
26,Helicosphaera carteri hyalina,0.0,,microscopy
29,Helicosphaera carteri hyalina,0.0,,microscopy
31,Helicosphaera carteri hyalina,0.0,,microscopy
33,Helicosphaera carteri hyalina,0.0,,microscopy
36,Helicosphaera carteri hyalina,0.0,,microscopy
39,Helicosphaera carteri hyalina,0.0,,microscopy
41,Helicosphaera carteri hyalina,0.0,,microscopy
44,Helicosphaera carteri hyalina,0.0,,microscopy
46,Helicosphaera carteri hyalina,0.0,,microscopy
49,Helicosphaera carteri hyalina,0.0,,microscopy
51,Helicosphaera carteri hyalina,0.0,,microscopy
55,Helicosphaera carteri hyalina,0.0,,microscopy
58,Helicosphaera carteri hyalina,0.0,,microscopy
60,Helicosphaera carteri hyalina,0.0,,microscopy
63,Helicosphaera carteri hyalina,0.0,,microscopy
65,Helicosphaera carteri hyalina,0.0,,microscopy
69,Helicosphaera carteri hyalina,0.0,,microscopy
70,Helicosphaera carteri hyalina,0.0,,microscopy
73,Helicosphaera carteri hyalina,0.0,,microscopy
75,Helicosphaera carteri hyalina,0.0,,microscopy
78,Helicosphaera carteri hyalina,0.0,,microscopy
80,Helicosphaera carteri hyalina,0.0,,microscopy
84,Helicosphaera carteri hyalina,0.0,,microscopy
85,Helicosphaera carteri hyalina,0.0,,microscopy
87,Helicosphaera carteri hyalina,0.0,,microscopy
90,Helicosphaera carteri hyalina,0.0,,microscopy
93,Helicosphaera carteri hyalina,0.0,,microscopy
95,Helicosphaera carteri hyalina,0.0,,microscopy
97,Helicosphaera carteri hyalina,0.0,,microscopy
100,Helicosphaera carteri hyalina,0.0,,microscopy
102,Helicosphaera carteri hyalina,0.0,,microscopy
105,Helicosphaera carteri hyalina,0.0,,microscopy
108,Helicosphaera carteri hyalina,0.0,,microscopy
110,Helicosphaera carteri hyalina,0.0,,microscopy
112,Helicosphaera carteri hyalina,0.0,,microscopy
6,Gymnodinium,8000.0,,microscopy
9,Gymnodinium,15000.0,,microscopy
11,Gymnodinium,15000.0,,microscopy
15,Gymnodinium,15000.0,,microscopy
16,Gymnodinium,15000.0,,microscopy
20,Gymnodinium,0.0,,microscopy
21,Gymnodinium,0.0,,microscopy
23,Gymnodinium,45000.0,,microscopy
26,Gymnodinium,23000.0,,microscopy
29,Gymnodinium,15000.0,,microscopy
31,Gymnodinium,15000.0,,microscopy
33,Gymnodinium,0.0,,microscopy
36,Gymnodinium,0.0,,microscopy
39,Gymnodinium,0.0,,microscopy
41,Gymnodinium,0.0,,microscopy
44,Gymnodinium,15000.0,,microscopy
46,Gymnodinium,38000.0,,microscopy
49,Gymnodinium,15000.0,,microscopy
51,Gymnodinium,0.0,,microscopy
55,Gymnodinium,0.0,,microscopy
58,Gymnodinium,38000.0,,microscopy
60,Gymnodinium,8000.0,,microscopy
63,Gymnodinium,23000.0,,microscopy
65,Gymnodinium,15000.0,,microscopy
69,Gymnodinium,15000.0,,microscopy
70,Gymnodinium,8000.0,,microscopy
73,Gymnodinium,0.0,,microscopy
75,Gymnodinium,8000.0,,microscopy
78,Gymnodinium,15000.0,,microscopy
80,Gymnodinium,30000.0,,microscopy
84,Gymnodinium,2000.0,,microscopy
85,Gymnodinium,0.0,,microscopy
87,Gymnodinium,15000.0,,microscopy
90,Gymnodinium,0.0,,microscopy
93,Gymnodinium,23000.0,,microscopy
95,Gymnodinium,61000.0,,microscopy
97,Gymnodinium,0.0,,microscopy
100,Gymnodinium,15000.0,,microscopy
102,Gymnodinium,15000.0,,microscopy
105,Gymnodinium,61000.0,,microscopy
108,Gymnodinium,15000.0,,microscopy
110,Gymnodinium,0.0,,microscopy
112,Gymnodinium,0.0,,microscopy
6,Gyrodinium,0.0,,microscopy
9,Gyrodinium,0.0,,microscopy
11,Gyrodinium,0.0,,microscopy
15,Gyrodinium,0.0,,microscopy
16,Gyrodinium,0.0,,microscopy
20,Gyrodinium,0.0,,microscopy
21,Gyrodinium,0.0,,microscopy
23,Gyrodinium,0.0,,microscopy
26,Gyrodinium,0.0,,microscopy
29,Gyrodinium,0.0,,microscopy
31,Gyrodinium,3000.0,,microscopy
33,Gyrodinium,0.0,,microscopy
36,Gyrodinium,0.0,,microscopy
39,Gyrodinium,0.0,,microscopy
41,Gyrodinium,0.0,,microscopy
44,Gyrodinium,0.0,,microscopy
46,Gyrodinium,0.0,,microscopy
49,Gyrodinium,0.0,,microscopy
51,Gyrodinium,0.0,,microscopy
55,Gyrodinium,0.0,,microscopy
58,Gyrodinium,0.0,,microscopy
60,Gyrodinium,0.0,,microscopy
63,Gyrodinium,0.0,,microscopy
65,Gyrodinium,0.0,,microscopy
69,Gyrodinium,0.0,,microscopy
70,Gyrodinium,0.0,,microscopy
73,Gyrodinium,0.0,,microscopy
75,Gyrodinium,0.0,,microscopy
78,Gyrodinium,0.0,,microscopy
80,Gyrodinium,0.0,,microscopy
84,Gyrodinium,0.0,,microscopy
85,Gyrodinium,0.0,,microscopy
87,Gyrodinium,0.0,,microscopy
90,Gyrodinium,0.0,,microscopy
93,Gyrodinium,0.0,,microscopy
95,Gyrodinium,2000.0,,microscopy
97,Gyrodinium,0.0,,microscopy
100,Gyrodinium,0.0,,microscopy
102,Gyrodinium,0.0,,microscopy
105,Gyrodinium,0.0,,microscopy
108,Gyrodinium,0.0,,microscopy
110,Gyrodinium,0.0,,microscopy
112,Gyrodinium,0.0,,microscopy
6,Cyanobacteria,37459000.0,,microscopy
9,Cyanobacteria,69275000.0,,microscopy
11,Cyanobacteria,0.0,,microscopy
15,Cyanobacteria,34007000.0,,microscopy
16,Cyanobacteria,18893000.0,,microscopy
20,Cyanobacteria,22671000.0,,microscopy
21,Cyanobacteria,12595000.0,,microscopy
23,Cyanobacteria,37903000.0,,microscopy
26,Cyanobacteria,37903000.0,,microscopy
29,Cyanobacteria,35267000.0,,microscopy
31,Cyanobacteria,56049000.0,,microscopy
33,Cyanobacteria,115458000.0,,microscopy
36,Cyanobacteria,83970000.0,,microscopy
39,Cyanobacteria,38416000.0,,microscopy
41,Cyanobacteria,195440000.0,,microscopy
44,Cyanobacteria,125395000.0,,microscopy
46,Cyanobacteria,78861000.0,,microscopy
49,Cyanobacteria,139110000.0,,microscopy
51,Cyanobacteria,105802000.0,,microscopy
55,Cyanobacteria,73054000.0,,microscopy
58,Cyanobacteria,56680000.0,,microscopy
60,Cyanobacteria,54230000.0,,microscopy
63,Cyanobacteria,61228000.0,,microscopy
65,Cyanobacteria,18660000.0,,microscopy
69,Cyanobacteria,110700000.0,,microscopy
70,Cyanobacteria,39186000.0,,microscopy
73,Cyanobacteria,40655000.0,,microscopy
75,Cyanobacteria,17634000.0,,microscopy
78,Cyanobacteria,37157000.0,,microscopy
80,Cyanobacteria,28969000.0,,microscopy
84,Cyanobacteria,35571000.0,,microscopy
85,Cyanobacteria,48339000.0,,microscopy
87,Cyanobacteria,52901000.0,,microscopy
90,Cyanobacteria,20782000.0,,microscopy
93,Cyanobacteria,39046000.0,,microscopy
95,Cyanobacteria,98299000.0,,microscopy
97,Cyanobacteria,99504000.0,,microscopy
100,Cyanobacteria,37156000.0,,microscopy
102,Cyanobacteria,44900000.0,,microscopy
105,Cyanobacteria,25820000.0,,microscopy
108,Cyanobacteria,30229000.0,,microscopy
110,Cyanobacteria,28969000.0,,microscopy
112,Cyanobacteria,37156000.0,,microscopy
116,Cyanobacteria,3758000.0,,microscopy
118,Cyanobacteria,3341000.0,,microscopy
119,Cyanobacteria,7934000.0,,microscopy
120,Cyanobacteria,0.0,,microscopy
121,Cyanobacteria,35076000.0,,microscopy
122,Cyanobacteria,35076000.0,,microscopy
123,Cyanobacteria,30065000.0,,microscopy
124,Cyanobacteria,74327000.0,,microscopy
126,Cyanobacteria,94370000.0,,microscopy
128,Cyanobacteria,43009000.0,,microscopy
135,Cyanobacteria,35493000.0,,microscopy
137,Cyanobacteria,84766000.0,,microscopy
138,Cyanobacteria,160346000.0,,microscopy
139,Cyanobacteria,7099000.0,,microscopy
140,Cyanobacteria,7099000.0,,microscopy
147,Cyanobacteria,11274000.0,,microscopy
150,Cyanobacteria,835000.0,,microscopy
152,Cyanobacteria,418000.0,,microscopy
153,Cyanobacteria,11000000.0,,microscopy
154,Cyanobacteria,9000000.0,,microscopy
155,Cyanobacteria,11000000.0,,microscopy
156,Cyanobacteria,8500000.0,,microscopy
157,Cyanobacteria,260000.0,,microscopy
159,Cyanobacteria,2505000.0,,microscopy
161,Cyanobacteria,9186000.0,,microscopy
163,Cyanobacteria,2923000.0,,microscopy
165,Cyanobacteria,418000.0,,microscopy
173,Cyanobacteria,11274000.0,,microscopy
175,Cyanobacteria,2088000.0,,microscopy
177,Cyanobacteria,2088000.0,,microscopy
179,Cyanobacteria,835000.0,,microscopy
181,Cyanobacteria,0.0,,microscopy
190,Cyanobacteria,418000.0,,microscopy
192,Cyanobacteria,1670000.0,,microscopy
194,Cyanobacteria,3341000.0,,microscopy
196,Cyanobacteria,4593000.0,,microscopy
198,Cyanobacteria,2088000.0,,microscopy
206,Cyanobacteria,2088000.0,,microscopy
208,Cyanobacteria,835000.0,,microscopy
210,Cyanobacteria,418000.0,,microscopy
212,Cyanobacteria,418000.0,,microscopy
214,Cyanobacteria,835000.0,,microscopy
221,Cyanobacteria,418000.0,,microscopy
223,Cyanobacteria,418000.0,,microscopy
225,Cyanobacteria,835000.0,,microscopy
227,Cyanobacteria,418000.0,,microscopy
229,Cyanobacteria,2088000.0,,microscopy
237,Cyanobacteria,2505000.0,,microscopy
239,Cyanobacteria,2505000.0,,microscopy
241,Cyanobacteria,418000.0,,microscopy
243,Cyanobacteria,0.0,,microscopy
245,Cyanobacteria,418000.0,,microscopy
248,Cyanobacteria,418000.0,,microscopy
250,Cyanobacteria,418000.0,,microscopy
252,Cyanobacteria,0.0,,microscopy
254,Cyanobacteria,835000.0,,microscopy
256,Cyanobacteria,0.0,,microscopy
258,Cyanobacteria,418000.0,,microscopy
260,Cyanobacteria,1253000.0,,microscopy
262,Cyanobacteria,1253000.0,,microscopy
264,Cyanobacteria,130281000.0,,microscopy
266,Cyanobacteria,0.0,,microscopy
269,Cyanobacteria,2088000.0,,microscopy
271,Cyanobacteria,1253000.0,,microscopy
273,Cyanobacteria,2505000.0,,microscopy
275,Cyanobacteria,418000.0,,microscopy
277,Cyanobacteria,0.0,,microscopy
279,Cyanobacteria,835000.0,,microscopy
280,Cyanobacteria,1253000.0,,microscopy
281,Cyanobacteria,835000.0,,microscopy
283,Cyanobacteria,418000.0,,microscopy
285,Cyanobacteria,2088000.0,,microscopy
287,Cyanobacteria,1253000.0,,microscopy
292,Cyanobacteria,2088000.0,,microscopy
294,Cyanobacteria,7099000.0,,microscopy
296,Cyanobacteria,5011000.0,,microscopy
298,Cyanobacteria,17120000.0,,microscopy
301,Cyanobacteria,7516000.0,,microscopy
303,Cyanobacteria,10439000.0,,microscopy
305,Cyanobacteria,2088000.0,,microscopy
308,Cyanobacteria,1670000.0,,microscopy
310,Cyanobacteria,835000.0,,microscopy
312,Cyanobacteria,0.0,,microscopy
314,Cyanobacteria,0.0,,microscopy
316,Cyanobacteria,1670000.0,,microscopy
318,Cyanobacteria,835000.0,,microscopy
321,Cyanobacteria,835000.0,,microscopy
323,Cyanobacteria,5846000.0,,microscopy
325,Cyanobacteria,50526000.0,,microscopy
327,Cyanobacteria,12527000.0,,microscopy
329,Cyanobacteria,20461000.0,,microscopy
331,Cyanobacteria,30482000.0,,microscopy
333,Cyanobacteria,145731000.0,,microscopy
335,Cyanobacteria,471851000.0,,microscopy
337,Cyanobacteria,86854000.0,,microscopy
339,Cyanobacteria,79338000.0,,microscopy
341,Cyanobacteria,60130000.0,,microscopy
345,Cyanobacteria,9186000.0,,microscopy
347,Cyanobacteria,2923000.0,,microscopy
354,Cyanobacteria,14615000.0,,microscopy
356,Cyanobacteria,12945000.0,,microscopy
358,Cyanobacteria,27142000.0,,microscopy
366,Cyanobacteria,21296000.0,,microscopy
368,Cyanobacteria,29230000.0,,microscopy
370,Cyanobacteria,7099000.0,,microscopy
380,Cyanobacteria,23801000.0,,microscopy
382,Cyanobacteria,97293000.0,,microscopy
384,Cyanobacteria,38834000.0,,microscopy
386,Cyanobacteria,46350000.0,,microscopy
394,Cyanobacteria,64305000.0,,microscopy
396,Cyanobacteria,39669000.0,,microscopy
398,Cyanobacteria,42174000.0,,microscopy
400,Cyanobacteria,32153000.0,,microscopy
402,Cyanobacteria,36746000.0,,microscopy
410,Cyanobacteria,35493000.0,,microscopy
412,Cyanobacteria,24219000.0,,microscopy
414,Cyanobacteria,32570000.0,,microscopy
416,Cyanobacteria,31318000.0,,microscopy
418,Cyanobacteria,10439000.0,,microscopy
426,Cyanobacteria,23384000.0,,microscopy
428,Cyanobacteria,17120000.0,,microscopy
432,Cyanobacteria,12109000.0,,microscopy
434,Cyanobacteria,10439000.0,,microscopy
6,Gymnodinium,1000.0,,microscopy
9,Gymnodinium,0.0,,microscopy
11,Gymnodinium,0.0,,microscopy
15,Gymnodinium,0.0,,microscopy
16,Gymnodinium,0.0,,microscopy
20,Gymnodinium,0.0,,microscopy
21,Gymnodinium,0.0,,microscopy
23,Gymnodinium,0.0,,microscopy
26,Gymnodinium,0.0,,microscopy
29,Gymnodinium,0.0,,microscopy
31,Gymnodinium,0.0,,microscopy
33,Gymnodinium,0.0,,microscopy
36,Gymnodinium,0.0,,microscopy
39,Gymnodinium,0.0,,microscopy
41,Gymnodinium,0.0,,microscopy
44,Gymnodinium,0.0,,microscopy
46,Gymnodinium,0.0,,microscopy
49,Gymnodinium,0.0,,microscopy
51,Gymnodinium,0.0,,microscopy
55,Gymnodinium,0.0,,microscopy
58,Gymnodinium,0.0,,microscopy
60,Gymnodinium,0.0,,microscopy
63,Gymnodinium,0.0,,microscopy
65,Gymnodinium,0.0,,microscopy
69,Gymnodinium,0.0,,microscopy
70,Gymnodinium,0.0,,microscopy
73,Gymnodinium,0.0,,microscopy
75,Gymnodinium,0.0,,microscopy
78,Gymnodinium,0.0,,microscopy
80,Gymnodinium,0.0,,microscopy
84,Gymnodinium,0.0,,microscopy
85,Gymnodinium,0.0,,microscopy
87,Gymnodinium,0.0,,microscopy
90,Gymnodinium,0.0,,microscopy
93,Gymnodinium,0.0,,microscopy
95,Gymnodinium,0.0,,microscopy
97,Gymnodinium,0.0,,microscopy
100,Gymnodinium,0.0,,microscopy
102,Gymnodinium,0.0,,microscopy
105,Gymnodinium,0.0,,microscopy
108,Gymnodinium,0.0,,microscopy
110,Gymnodinium,0.0,,microscopy
112,Gymnodinium,0.0,,microscopy
6,Fragilariopsis cylindrus,0.0,,microscopy
9,Fragilariopsis cylindrus,0.0,,microscopy
11,Fragilariopsis cylindrus,0.0,,microscopy
15,Fragilariopsis cylindrus,0.0,,microscopy
16,Fragilariopsis cylindrus,0.0,,microscopy
20,Fragilariopsis cylindrus,0.0,,microscopy
21,Fragilariopsis cylindrus,0.0,,microscopy
23,Fragilariopsis cylindrus,0.0,,microscopy
26,Fragilariopsis cylindrus,0.0,,microscopy
29,Fragilariopsis cylindrus,0.0,,microscopy
31,Fragilariopsis cylindrus,0.0,,microscopy
33,Fragilariopsis cylindrus,0.0,,microscopy
36,Fragilariopsis cylindrus,0.0,,microscopy
39,Fragilariopsis cylindrus,0.0,,microscopy
41,Fragilariopsis cylindrus,0.0,,microscopy
44,Fragilariopsis cylindrus,0.0,,microscopy
46,Fragilariopsis cylindrus,0.0,,microscopy
49,Fragilariopsis cylindrus,0.0,,microscopy
51,Fragilariopsis cylindrus,0.0,,microscopy
55,Fragilariopsis cylindrus,0.0,,microscopy
58,Fragilariopsis cylindrus,0.0,,microscopy
60,Fragilariopsis cylindrus,0.0,,microscopy
63,Fragilariopsis cylindrus,0.0,,microscopy
65,Fragilariopsis cylindrus,0.0,,microscopy
69,Fragilariopsis cylindrus,0.0,,microscopy
70,Fragilariopsis cylindrus,0.0,,microscopy
73,Fragilariopsis cylindrus,0.0,,microscopy
75,Fragilariopsis cylindrus,0.0,,microscopy
78,Fragilariopsis cylindrus,0.0,,microscopy
80,Fragilariopsis cylindrus,0.0,,microscopy
84,Fragilariopsis cylindrus,0.0,,microscopy
85,Fragilariopsis cylindrus,0.0,,microscopy
87,Fragilariopsis cylindrus,0.0,,microscopy
90,Fragilariopsis cylindrus,0.0,,microscopy
93,Fragilariopsis cylindrus,0.0,,microscopy
95,Fragilariopsis cylindrus,0.0,,microscopy
97,Fragilariopsis cylindrus,0.0,,microscopy
100,Fragilariopsis cylindrus,45000.0,,microscopy
102,Fragilariopsis cylindrus,0.0,,microscopy
105,Fragilariopsis cylindrus,61000.0,,microscopy
108,Fragilariopsis cylindrus,76000.0,,microscopy
110,Fragilariopsis cylindrus,30000.0,,microscopy
112,Fragilariopsis cylindrus,45000.0,,microscopy
6,Syracosphaera,0.0,,microscopy
9,Syracosphaera,0.0,,microscopy
11,Syracosphaera,0.0,,microscopy
15,Syracosphaera,0.0,,microscopy
16,Syracosphaera,0.0,,microscopy
20,Syracosphaera,0.0,,microscopy
21,Syracosphaera,0.0,,microscopy
23,Syracosphaera,0.0,,microscopy
26,Syracosphaera,0.0,,microscopy
29,Syracosphaera,0.0,,microscopy
31,Syracosphaera,0.0,,microscopy
33,Syracosphaera,0.0,,microscopy
36,Syracosphaera,0.0,,microscopy
39,Syracosphaera,0.0,,microscopy
41,Syracosphaera,0.0,,microscopy
44,Syracosphaera,0.0,,microscopy
46,Syracosphaera,0.0,,microscopy
49,Syracosphaera,0.0,,microscopy
51,Syracosphaera,0.0,,microscopy
55,Syracosphaera,0.0,,microscopy
58,Syracosphaera,0.0,,microscopy
60,Syracosphaera,0.0,,microscopy
63,Syracosphaera,0.0,,microscopy
65,Syracosphaera,0.0,,microscopy
69,Syracosphaera,0.0,,microscopy
70,Syracosphaera,0.0,,microscopy
73,Syracosphaera,0.0,,microscopy
75,Syracosphaera,0.0,,microscopy
78,Syracosphaera,0.0,,microscopy
80,Syracosphaera,0.0,,microscopy
84,Syracosphaera,0.0,,microscopy
85,Syracosphaera,0.0,,microscopy
87,Syracosphaera,0.0,,microscopy
90,Syracosphaera,0.0,,microscopy
93,Syracosphaera,0.0,,microscopy
95,Syracosphaera,0.0,,microscopy
97,Syracosphaera,0.0,,microscopy
100,Syracosphaera,0.0,,microscopy
102,Syracosphaera,0.0,,microscopy
105,Syracosphaera,0.0,,microscopy
108,Syracosphaera,0.0,,microscopy
110,Syracosphaera,0.0,,microscopy
112,Syracosphaera,0.0,,microscopy
6,Gymnodinium,0.0,,microscopy
9,Gymnodinium,0.0,,microscopy
11,Gymnodinium,0.0,,microscopy
15,Gymnodinium,0.0,,microscopy
16,Gymnodinium,0.0,,microscopy
20,Gymnodinium,0.0,,microscopy
21,Gymnodinium,1000.0,,microscopy
23,Gymnodinium,0.0,,microscopy
26,Gymnodinium,0.0,,microscopy
29,Gymnodinium,1000.0,,microscopy
31,Gymnodinium,0.0,,microscopy
33,Gymnodinium,0.0,,microscopy
36,Gymnodinium,2000.0,,microscopy
39,Gymnodinium,0.0,,microscopy
41,Gymnodinium,0.0,,microscopy
44,Gymnodinium,0.0,,microscopy
46,Gymnodinium,0.0,,microscopy
49,Gymnodinium,0.0,,microscopy
51,Gymnodinium,0.0,,microscopy
55,Gymnodinium,0.0,,microscopy
